"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","9","2.2","0","9","0","0"
"1","1","1","0","0","8.4","2.6","0","8.4","0","0"
"1","1","2","0","0","8","2.1","0","8","0","0"
"1","1","3","0","0","7.9","1.5","0","7.9","0","0"
"1","1","4","0","0","7.9","1","0","7.9","0","0"
"1","1","5","0","0","7.8","1.7","0","7.8","0","0"
"1","1","6","0","0","9","2.4","0","9","0","0"
"1","1","7","154","37","9.4","3.1","154.922","11.384","7388.506","6980.234"
"1","1","8","484","85","11.9","3.8","456.938","20.931","20915.275","20121.375"
"1","1","9","721","77","14.4","4.4","720.688","28.911","31782.469","30580.191"
"1","1","10","792","84","16.9","5.1","770.503","31.614","33482.91","32208.789"
"1","1","11","761","105","16.9","4.4","672.573","31.009","29124.35","28030.074"
"1","1","12","611","153","17","3.8","493.011","27.908","21276.504","20470.439"
"1","1","13","421","172","17","3.1","292.413","23.6","12320.015","11786.913"
"1","1","14","252","145","16.2","2.6","132.424","18.652","5463.273","5098.826"
"1","1","15","69","83","15.3","2","59.041","15.428","2776.36","2468.469"
"1","1","16","0","10","14.5","1.5","7.651","12.777","364.097","102.406"
"1","1","17","0","0","13.7","1.5","0","13.7","0","0"
"1","1","18","0","0","13","1.5","0","13","0","0"
"1","1","19","0","0","12.2","1.5","0","12.2","0","0"
"1","1","20","0","0","11.8","1.7","0","11.8","0","0"
"1","1","21","0","0","11.4","1.9","0","11.4","0","0"
"1","1","22","0","0","11","2.1","0","11","0","0"
"1","1","23","0","0","12.1","3.5","0","12.1","0","0"
"1","2","0","0","0","13.2","4.8","0","13.2","0","0"
"1","2","1","0","0","14.3","6.2","0","14.3","0","0"
"1","2","2","0","0","14","5.2","0","14","0","0"
"1","2","3","0","0","13.8","4.1","0","13.8","0","0"
"1","2","4","0","0","13.5","3.1","0","13.5","0","0"
"1","2","5","0","0","13.5","3.1","0","13.5","0","0"
"1","2","6","0","0","13.5","3.1","0","13.5","0","0"
"1","2","7","0","27","13.5","3.1","21.929","12.291","1045.775","771.467"
"1","2","8","18","108","14.3","3.4","116.854","15.442","5493.13","5128.025"
"1","2","9","47","175","15","3.8","219.241","18.637","10157.354","9681.221"
"1","2","10","45","230","15.8","4.1","260.495","20.456","11966.049","11442.509"
"1","2","11","260","257","16","3.8","433.075","24.715","19414.732","18670.32"
